observationID,deploymentID,eventID,observationLevel,observationType,scientificName,taxonID,count,classificationMethod,classifiedBy,classificationTimestamp
WBGBIF2026_E0083_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0083,event,animal,Dendrocopos major,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0084_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0084,event,animal,Dendrocopos major,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0088_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0088,event,animal,Didelphis marsupialis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0089_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0089,event,animal,Didelphis marsupialis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0090_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0090,event,animal,Didelphis marsupialis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0091_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0091,event,animal,Dryocopus martius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0092_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0092,event,animal,Dryocopus martius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0093_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0093,event,animal,Dryocopus martius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0094_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0094,event,animal,Eira barbara,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0095_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0095,event,animal,Eira barbara,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0096_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0096,event,animal,Eira barbara,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0103_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0103,event,animal,Erinaceus europaeus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0104_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0104,event,animal,Erinaceus europaeus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0105_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0105,event,animal,Erinaceus europaeus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0106_obs,WBGBIF2026_D_DEU_273ee7a0,WBGBIF2026_E0106,event,animal,Erithacus rubecula,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0107_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0107,event,animal,Erithacus rubecula,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0108_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0108,event,animal,Erithacus rubecula,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0109_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0109,event,animal,Falco tinnunculus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0110_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0110,event,animal,Falco tinnunculus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0111_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0111,event,animal,Falco tinnunculus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0112_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0112,event,animal,Felis catus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0113_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0113,event,animal,Felis catus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0114_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0114,event,animal,Felis catus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0115_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0115,event,animal,Felis silvestris,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0116_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0116,event,animal,Felis silvestris,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0117_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0117,event,animal,Felis silvestris,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0118_obs,WBGBIF2026_D_DEU_273ee7a0,WBGBIF2026_E0118,event,animal,Fringilla coelebs,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0119_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0119,event,animal,Fringilla coelebs,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0120_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0120,event,animal,Fringilla coelebs,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0127_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0127,event,animal,Gallinula chloropus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0128_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0128,event,animal,Gallinula chloropus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0129_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0129,event,animal,Gallinula chloropus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0130_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0130,event,animal,Garrulus glandarius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0131_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0131,event,animal,Garrulus glandarius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0132_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0132,event,animal,Garrulus glandarius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0136_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0136,event,animal,Leopardus pardalis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0137_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0137,event,animal,Leopardus pardalis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0138_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0138,event,animal,Leopardus pardalis,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0139_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0139,event,animal,Leopardus wiedii,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0140_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0140,event,animal,Leopardus wiedii,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0141_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0141,event,animal,Leopardus wiedii,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0142_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0142,event,animal,Lepus europaeus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0143_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0143,event,animal,Lepus europaeus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0144_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0144,event,animal,Lepus europaeus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0151_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0151,event,animal,Martes foina,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0152_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0152,event,animal,Martes foina,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0153_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0153,event,animal,Martes foina,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0154_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0154,event,animal,Martes martes,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0155_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0155,event,animal,Martes martes,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0156_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0156,event,animal,Martes martes,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0157_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0157,event,animal,Mazama americana,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0158_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0158,event,animal,Mazama americana,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0159_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0159,event,animal,Mazama americana,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0160_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0160,event,animal,Mazama gouazoubira,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0161_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0161,event,animal,Mazama gouazoubira,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0162_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0162,event,animal,Mazama gouazoubira,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0163_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0163,event,animal,Meles meles,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0164_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0164,event,animal,Meles meles,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0165_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0165,event,animal,Meles meles,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0166_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0166,event,animal,Metachirus nudicaudatus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0167_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0167,event,animal,Metachirus nudicaudatus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0168_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0168,event,animal,Metachirus nudicaudatus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0169_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0169,event,animal,Mitu salvini,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0170_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0170,event,animal,Mitu salvini,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0171_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0171,event,animal,Mitu salvini,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0175_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0175,event,animal,Motacilla flava,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0176_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0176,event,animal,Motacilla flava,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0177_obs,WBGBIF2026_D_LUX_1290a78f,WBGBIF2026_E0177,event,animal,Motacilla flava,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0178_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0178,event,animal,Mustela erminea,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0179_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0179,event,animal,Mustela erminea,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0180_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0180,event,animal,Mustela erminea,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0181_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0181,event,animal,Mustela putorius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0182_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0182,event,animal,Mustela putorius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0183_obs,WBGBIF2026_D_LUX_fc3f505a,WBGBIF2026_E0183,event,animal,Mustela putorius,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0184_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0184,event,animal,Myoprocta pratti,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0185_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0185,event,animal,Myoprocta pratti,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0186_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0186,event,animal,Myoprocta pratti,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0187_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0187,event,animal,Myrmecophaga tridactyla,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0188_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0188,event,animal,Myrmecophaga tridactyla,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0189_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0189,event,animal,Myrmecophaga tridactyla,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0190_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0190,event,animal,Nothocrax urumutum,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0191_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0191,event,animal,Nothocrax urumutum,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0192_obs,WBGBIF2026_D_ECU_68f49e46,WBGBIF2026_E0192,event,animal,Nothocrax urumutum,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0193_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0193,event,animal,Oryctolagus cuniculus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0194_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0194,event,animal,Oryctolagus cuniculus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0195_obs,WBGBIF2026_D_LUX_273ee7a0,WBGBIF2026_E0195,event,animal,Oryctolagus cuniculus,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0196_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0196,event,animal,Ovis aries,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
WBGBIF2026_E0197_obs,WBGBIF2026_D_BEL_c9cbc586,WBGBIF2026_E0197,event,animal,Ovis aries,,1,source label plus WildlifeBench visual curation,WildlifeBench curation,
