presentation_scope,model_route,run_index,source_result_path,event_id,ground_truth_species,ground_truth_class,country,country_code,prediction_species,prediction_genus,prediction_family,prediction_order,prediction_class,confidence,tis_points,adjusted_tis_points,hallucinated,invalid_taxa_levels
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0024,Bos taurus,Mammalia,Ecuador,ECU,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0028,Buteo buteo,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0029,Buteo buteo,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0030,Buteo buteo,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0034,Capreolus capreolus,Mammalia,Luxembourg,LUX,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0035,Capreolus capreolus,Mammalia,Luxembourg,LUX,Capreolus capreolus,Capreolus,Cervidae,Artiodactyla,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0036,Capreolus capreolus,Mammalia,Luxembourg,LUX,Capreolus capreolus,Capreolus,Cervidae,Artiodactyla,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0037,Castor fiber,Mammalia,Belgium,BEL,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0038,Castor fiber,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0039,Castor fiber,Mammalia,Belgium,BEL,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0040,Cervus elaphus,Mammalia,Luxembourg,LUX,,,Cervidae,Artiodactyla,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0041,Cervus elaphus,Mammalia,Luxembourg,LUX,,,Cervidae,Artiodactyla,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0042,Cervus elaphus,Mammalia,Luxembourg,LUX,,,Cervidae,Artiodactyla,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0055,Columba palumbus,Aves,Belgium,BEL,Columba palumbus,Columba,Columbidae,Columbiformes,Aves,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0056,Columba palumbus,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0057,Columba palumbus,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0058,Corvus corone,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0059,Corvus corone,Aves,Luxembourg,LUX,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0060,Corvus corone,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0061,Corvus frugilegus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0062,Corvus frugilegus,Aves,Luxembourg,LUX,Corvus corax,Corvus,Corvidae,Passeriformes,Aves,,3.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0063,Corvus frugilegus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0064,Cuniculus paca,Mammalia,Ecuador,ECU,Cuniculus paca,Cuniculus,Cuniculidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0065,Cuniculus paca,Mammalia,Ecuador,ECU,Cuniculus paca,Cuniculus,Cuniculidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0066,Cuniculus paca,Mammalia,Ecuador,ECU,Cuniculus paca,Cuniculus,Cuniculidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0070,Dama dama,Mammalia,Belgium,BEL,,,Cervidae,Artiodactyla,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0071,Dama dama,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0072,Dama dama,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0073,Dasyprocta fuliginosa,Mammalia,Ecuador,ECU,Dasyprocta fuliginosa,Dasyprocta,Dasyproctidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0074,Dasyprocta fuliginosa,Mammalia,Ecuador,ECU,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0075,Dasyprocta fuliginosa,Mammalia,Ecuador,ECU,Dasyprocta fuliginosa,Dasyprocta,Dasyproctidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0076,Dasyprocta punctata,Mammalia,Ecuador,ECU,Dasyprocta punctata,Dasyprocta,Dasyproctidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0077,Dasyprocta punctata,Mammalia,Ecuador,ECU,Dasyprocta punctata,Dasyprocta,Dasyproctidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0078,Dasyprocta punctata,Mammalia,Ecuador,ECU,Dasyprocta punctata,Dasyprocta,Dasyproctidae,Rodentia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0079,Dasypus novemcinctus,Mammalia,Ecuador,ECU,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0080,Dasypus novemcinctus,Mammalia,Ecuador,ECU,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0081,Dasypus novemcinctus,Mammalia,Ecuador,ECU,Dasypus novemcinctus,Dasypus,Dasypodidae,Cingulata,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0082,Dendrocopos major,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0083,Dendrocopos major,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0084,Dendrocopos major,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0088,Didelphis marsupialis,Mammalia,Ecuador,ECU,Didelphis marsupialis,Didelphis,Didelphidae,Didelphimorphia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0089,Didelphis marsupialis,Mammalia,Ecuador,ECU,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0090,Didelphis marsupialis,Mammalia,Ecuador,ECU,Didelphis marsupialis,Didelphis,Didelphidae,Didelphimorphia,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0091,Dryocopus martius,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0092,Dryocopus martius,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0093,Dryocopus martius,Aves,Luxembourg,LUX,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0094,Eira barbara,Mammalia,Ecuador,ECU,,,,Carnivora,Mammalia,,1.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0095,Eira barbara,Mammalia,Ecuador,ECU,Eira barbara,Eira,Mustelidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0096,Eira barbara,Mammalia,Ecuador,ECU,Eira barbara,Eira,Mustelidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0103,Erinaceus europaeus,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0104,Erinaceus europaeus,Mammalia,Belgium,BEL,Erinaceus europaeus,Erinaceus,Erinaceidae,Eulipotyphla,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0105,Erinaceus europaeus,Mammalia,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0106,Erithacus rubecula,Aves,Germany,DEU,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0107,Erithacus rubecula,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0108,Erithacus rubecula,Aves,Belgium,BEL,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0109,Falco tinnunculus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0110,Falco tinnunculus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0111,Falco tinnunculus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0112,Felis catus,Mammalia,Belgium,BEL,Felis catus,Felis,Felidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0113,Felis catus,Mammalia,Belgium,BEL,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0114,Felis catus,Mammalia,Belgium,BEL,Felis catus,Felis,Felidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0115,Felis silvestris,Mammalia,Luxembourg,LUX,,,,Carnivora,Mammalia,,1.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0116,Felis silvestris,Mammalia,Luxembourg,LUX,,,Felidae,Carnivora,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0117,Felis silvestris,Mammalia,Luxembourg,LUX,,,,Carnivora,Mammalia,,1.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0118,Fringilla coelebs,Aves,Germany,DEU,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0119,Fringilla coelebs,Aves,Luxembourg,LUX,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0120,Fringilla coelebs,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0127,Gallinula chloropus,Aves,Luxembourg,LUX,Phasianus colchicus,Phasianus,Phasianidae,Galliformes,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0128,Gallinula chloropus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0129,Gallinula chloropus,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0130,Garrulus glandarius,Aves,Luxembourg,LUX,,,,,Aves,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0131,Garrulus glandarius,Aves,Luxembourg,LUX,Garrulus glandarius,Garrulus,Corvidae,Passeriformes,Aves,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0132,Garrulus glandarius,Aves,Belgium,BEL,,,,,,,0.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0136,Leopardus pardalis,Mammalia,Ecuador,ECU,,,Felidae,Carnivora,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0137,Leopardus pardalis,Mammalia,Ecuador,ECU,Leopardus pardalis,Leopardus,Felidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0138,Leopardus pardalis,Mammalia,Ecuador,ECU,Leopardus pardalis,Leopardus,Felidae,Carnivora,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0139,Leopardus wiedii,Mammalia,Ecuador,ECU,,,Felidae,Carnivora,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0140,Leopardus wiedii,Mammalia,Ecuador,ECU,Leopardus pardalis,Leopardus,Felidae,Carnivora,Mammalia,,3.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0141,Leopardus wiedii,Mammalia,Ecuador,ECU,,,,Carnivora,Mammalia,,1.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0142,Lepus europaeus,Mammalia,Belgium,BEL,,,Leporidae,Lagomorpha,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0143,Lepus europaeus,Mammalia,Luxembourg,LUX,Lepus europaeus,Lepus,Leporidae,Lagomorpha,Mammalia,,5.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0144,Lepus europaeus,Mammalia,Belgium,BEL,,,,,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0151,Martes foina,Mammalia,Luxembourg,LUX,,,Mustelidae,Carnivora,Mammalia,,2.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0152,Martes foina,Mammalia,Belgium,BEL,,,,Carnivora,Mammalia,,1.0,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0153,Martes foina,Mammalia,Belgium,BEL,,,Didelphidae,Didelphimorphia,Mammalia,,0.5,,,
speciesnet_v403b_geo_supported_overlap,SpeciesNet v4.0.3b geo ensemble,1,not_redistributed_public_staging_speciesnet_overlap_only,WBGBIF2026_E0154,Martes martes,Mammalia,Luxembourg,LUX,,,,Carnivora,Mammalia,,1.0,,,
