species,class,countries,event_count,included_event_count,excluded_event_count,status,exclusion_reasons,on_speciesnet_taxonomy,on_speciesnet_classifier_label,allowed_by_speciesnet_geo_policy
Ovis aries,Mammalia,BEL,3,3,0,included,,true,true,true
Panthera onca,Mammalia,ECU,3,3,0,included,,true,true,true
Passer domesticus,Aves,LUX,3,3,0,included,,true,true,true
Pecari tajacu,Mammalia,ECU,3,3,0,included,,true,true,true
Penelope purpurascens,Aves,ECU,3,3,0,included,,true,true,true
Phasianus colchicus,Aves,BEL,3,3,0,included,,true,true,true
Phoenicurus ochruros,Aves,LUX,3,3,0,included,,true,true,true
Phoenicurus phoenicurus,Aves,LUX,3,3,0,included,,true,true,true
Pica pica,Aves,BEL,3,3,0,included,,true,true,true
Picus viridis,Aves,BEL|LUX,3,3,0,included,,true,true,true
Proechimys semispinosus,Mammalia,ECU,3,3,0,included,,true,true,true
Psophia crepitans,Aves,ECU,3,3,0,included,,true,true,true
Puma concolor,Mammalia,ECU,3,3,0,included,,true,true,true
Rattus norvegicus,Mammalia,BEL,3,3,0,included,,true,true,true
Saxicola rubicola,Aves,LUX,3,3,0,included,,true,true,true
Sciurus vulgaris,Mammalia,LUX,3,3,0,included,,true,true,true
Scolopax rusticola,Aves,BEL|LUX,3,3,0,included,,true,true,true
Sitta europaea,Aves,BEL,3,3,0,included,,true,true,true
Strix aluco,Aves,BEL,3,3,0,included,,true,true,true
Sturnus vulgaris,Aves,FRA|LUX,3,3,0,included,,true,true,true
Sus scrofa,Mammalia,BEL,3,3,0,included,,true,true,true
Syrmaticus reevesii,Aves,BEL,3,3,0,included,,true,true,true
Tapirus terrestris,Mammalia,ECU,3,3,0,included,,true,true,true
Tayassu pecari,Mammalia,ECU,3,3,0,included,,true,true,true
Tinamus major,Aves,ECU,3,3,0,included,,true,true,true
Tinamus tao,Aves,ECU,3,3,0,included,,true,true,true
Tremarctos ornatus,Mammalia,ECU,3,3,0,included,,true,true,true
Troglodytes troglodytes,Aves,BEL,3,3,0,included,,true,true,true
Turdus iliacus,Aves,BEL,3,3,0,included,,true,true,true
Turdus merula,Aves,BEL,3,3,0,included,,true,true,true
Turdus philomelos,Aves,BEL,3,3,0,included,,true,true,true
Turdus pilaris,Aves,DEU|LUX,3,3,0,included,,true,true,true
Turdus viscivorus,Aves,BEL|LUX,3,3,0,included,,true,true,true
Vulpes vulpes,Mammalia,BEL|LUX,3,3,0,included,,true,true,true
